scig1.0000008	GO:0008046,GO:0005509,GO:0005201
scig1.0002133	GO:0005102
scig1.0002141	GO:0098632,GO:0005515,GO:1990890,GO:1990782
scig1.0002176	GO:0003674
scig1.0002194	GO:0003677,GO:0016922,GO:0008094,GO:0005515,GO:0000978,GO:0043565,GO:0070577,GO:0035064,GO:0046872
scig1.0002197	GO:0004518,GO:0046872,GO:0016787
scig1.0002207	GO:0000166,GO:0005515,GO:0005525,GO:0047391,GO:0030234,GO:0003924,GO:0019001,GO:0001664,GO:0044877,GO:0046872,GO:0031683,GO:0003925
scig1.0002228	GO:0003824,GO:0030246,GO:0016853,GO:0004034
scig1.0002230	GO:0035925,GO:0046872,GO:0003723,GO:0003676
scig1.0002267	GO:0043022
scig1.0002275	GO:0003729,GO:1990247,GO:0062153,GO:0003723
scig1.0002283	GO:0004070,GO:0016743,GO:0016740,GO:0016597
scig1.0002298	GO:0019003,GO:0003924,GO:0003674,GO:0005515,GO:0000166,GO:0005525
scig1.0002348	GO:0140262,GO:0003727,GO:0016787,GO:0003729,GO:1905538,GO:0004521,GO:0003676,GO:0003723,GO:0004518,GO:0019901,GO:0034584,GO:0004519,GO:0046872
scig1.0002354	GO:0008649,GO:0062105,GO:0008168,GO:0016740,GO:0008171,GO:0008757
scig1.0002423	GO:0005388,GO:0000166,GO:0019899,GO:0005515,GO:0106222,GO:0005524,GO:0005509,GO:0031775,GO:0086039,GO:0044325,GO:0046872,GO:0044548,GO:0016887
scig1.0002436	GO:0005524,GO:0000166,GO:0051082,GO:0140662,GO:0016887
scig1.0002447	GO:0140658,GO:0008094,GO:0003677,GO:0016787,GO:0000166,GO:0005515,GO:0005524,GO:0004386,GO:0008270,GO:0046872
scig1.0002474	GO:0005509,GO:0003682,GO:0005515,GO:0098640,GO:0005178,GO:0003674,GO:0005201
scig1.0002489	GO:0005509,GO:0009374
scig1.0002513	GO:0015292,GO:0005308,GO:0022857,GO:0008028
scig1.0002550	GO:0005178,GO:0005201,GO:0005509
scig1.0002564	GO:0016740,GO:0003824,GO:0016779,GO:0003964
scig1.0002566	GO:0016740,GO:0016779,GO:0003964,GO:0003824
scig1.0002577	GO:0043395
scig1.0002635	GO:0017022,GO:0050811,GO:0005102,GO:0005515
scig1.0002639	GO:0005509,GO:0005201
scig1.0002640	GO:0046872,GO:0016491,GO:0005506,GO:0020037,GO:0004497,GO:0033780,GO:0016705
scig1.0002659	GO:0005515,GO:0003779,GO:0005524,GO:0031267,GO:0000166,GO:0005516,GO:0051015,GO:0003774,GO:0000146
scig1.0002664	GO:0005178,GO:0098640,GO:0005539,GO:0005024,GO:0005201,GO:0005179,GO:0005509,GO:0050431,GO:0005515,GO:0003682,GO:0019838
scig1.0002678	GO:0035035,GO:0003700,GO:0046982,GO:0042826,GO:0046332,GO:0003682,GO:0001228,GO:0003677,GO:0000981,GO:0019901,GO:0000978,GO:0140297,GO:0043565,GO:0000977,GO:0061629,GO:0046983
scig1.0002690	GO:0003676,GO:0003677
scig1.0002706	GO:0019903,GO:0030246,GO:0005509,GO:0030169,GO:0005540
scig1.0002712	GO:0016740,GO:0003964,GO:0016779,GO:0003824
scig1.0002717	GO:0005198,GO:0045296,GO:0051015,GO:0003779
scig1.0002721	GO:0008289,GO:0038023,GO:0005496
scig1.0002732	GO:0003723,GO:0003676,GO:0003729
scig1.0002782	GO:0005515,GO:0005096
scig1.0002792	GO:0016779,GO:0003964,GO:0009036,GO:0003824,GO:0016787,GO:0003723,GO:0004518,GO:0016740,GO:0004519,GO:0046872
scig1.0002799	GO:0003674
scig1.0002826	GO:0016740,GO:0000049,GO:0003725,GO:0061710,GO:0016779
scig1.0002841	GO:0044877,GO:0051117,GO:0004843,GO:0036435,GO:0031593,GO:0005515,GO:0005102
scig1.0002843	GO:0005201,GO:0008046,GO:0005509
scig1.0002884	GO:0042974,GO:0030331
scig1.0002938	GO:0016787,GO:0046872
scig1.0002967	GO:0015658
scig1.0002976	GO:0003824,GO:0003964,GO:0016779,GO:0035613,GO:0016787,GO:0003677,GO:0004523,GO:0000175,GO:0003676,GO:0016740,GO:0003730,GO:0008190,GO:0004518,GO:0008270,GO:0004519,GO:0019904,GO:0046872
scig1.0002989	GO:0043395,GO:0003993,GO:0004721,GO:0046872,GO:0016791,GO:0004725,GO:0008201,GO:0005515,GO:0016787,GO:0035374
scig1.0003023	GO:0008234,GO:0008233,GO:0004197,GO:0016787,GO:0004175,GO:0005515,GO:0019786,GO:0097110
scig1.0003042	GO:0030983,GO:0032181,GO:0003690,GO:0032357,GO:0042803,GO:0140664,GO:0003677,GO:0000166,GO:0003697,GO:0019899,GO:0005515,GO:0005524,GO:0032142,GO:0032137,GO:0032139
scig1.0003089	GO:0051082
scig1.0003098	GO:0030020,GO:0005201
scig1.0003103	GO:0003723,GO:0070016,GO:0042974,GO:0019904,GO:0030331,GO:0004535,GO:0005515,GO:0060090
scig1.0003109	GO:0003674
scig1.0003116	GO:0015297,GO:0005247,GO:0015108,GO:0005254,GO:0000166,GO:0005524,GO:0005515
scig1.0003120	GO:0098640,GO:0003682,GO:0005509
scig1.0003140	GO:0015205,GO:0005326,GO:0015212,GO:0015101,GO:0015210,GO:0008504,GO:0015213,GO:0015208,GO:0005337
scig1.0003143	GO:0051087,GO:0005515
scig1.0003163	GO:0042802,GO:0005515
scig1.0003165	GO:0003960,GO:0050661,GO:0016491
scig1.0003195	GO:0046872,GO:0070976,GO:0004715,GO:0015459,GO:0106310,GO:0004672,GO:0019899,GO:0005515,GO:0004697,GO:0008047,GO:0044877,GO:0016740,GO:0043560,GO:0019901,GO:0004674,GO:0071889,GO:0004713,GO:0000166,GO:0005524,GO:0043274,GO:0004699,GO:0016301
scig1.0003207	GO:0005524,GO:0000166,GO:0004842,GO:0016887,GO:0016740,GO:0061630,GO:0003824,GO:0005515,GO:0016787,GO:0046872
scig1.0003211	GO:0016491,GO:0004177,GO:0004497,GO:0016706,GO:0035064,GO:0046872,GO:0008233,GO:0106155,GO:0016787,GO:0004175
scig1.0003213	GO:0042802,GO:0005509,GO:0003924,GO:0046872,GO:0005525,GO:0000166,GO:0019003
scig1.0003273	GO:0016757,GO:0047280,GO:0005125,GO:0016740
scig1.0003330	GO:0008017,GO:0005515,GO:0043130,GO:0070530,GO:0003779
scig1.0003337	GO:0050431,GO:0004867,GO:0004866,GO:0030414
scig1.0003354	GO:0030674,GO:0005200,GO:0005515,GO:0019899,GO:0051117,GO:0044325,GO:0140031,GO:0019901,GO:0030507,GO:0008093
scig1.0003386	GO:0016740,GO:0008270,GO:0061630,GO:0005515,GO:0046872
scig1.0003389	GO:0000166,GO:0005524,GO:0003674
scig1.0003401	GO:0015267,GO:0005262,GO:0005216,GO:0015278,GO:0042802,GO:0097604
scig1.0003407	GO:0008234,GO:0004198,GO:0008233,GO:0016787
scig1.0003413	GO:0005515
scig1.0003423	GO:0005515,GO:0031625,GO:0005524,GO:0000166,GO:0061631,GO:0016740
scig1.0003428	GO:0016740,GO:0004674,GO:0000166,GO:0005524,GO:0005525,GO:0016301,GO:0046872,GO:0042803,GO:0106310,GO:0005515,GO:0004672,GO:0042802
scig1.0003456	GO:0005509,GO:0030246,GO:0019899,GO:0005540,GO:0005515,GO:0004888,GO:0051059,GO:0001228,GO:0009374,GO:0038023,GO:0000987
scig1.0003464	GO:0015297,GO:0005384,GO:0015085
scig1.0003482	GO:0016757,GO:0008424,GO:0017124,GO:0016740
scig1.0003497	GO:0038024,GO:0004888,GO:0001618,GO:0005515,GO:0030246,GO:0005537,GO:0038023
scig1.0003517	GO:0018477,GO:0004028,GO:0004030,GO:0016620,GO:0016491,GO:0018479,GO:0033721,GO:0004029
scig1.0003532	GO:0051015,GO:0003779
scig1.0003543	GO:0016829,GO:0004056,GO:0003824
scig1.0003563	GO:0016740,GO:0003824,GO:0016779,GO:0003964,GO:0046872
scig1.0003571	GO:0019787,GO:0016740,GO:0004842,GO:0008270,GO:0031625,GO:0046872,GO:0031624,GO:0005515,GO:0061630
scig1.0003592	GO:0005515,GO:0004672,GO:0106310,GO:0016301,GO:0005524,GO:0000166,GO:0004674,GO:0016740,GO:0004675
scig1.0003593	GO:1904121,GO:0003674
scig1.0003610	GO:0008093,GO:0030507,GO:0008092,GO:0004842,GO:0016740,GO:0044877,GO:0140031,GO:0044325,GO:0061630,GO:0043027,GO:0045296,GO:0005515,GO:0005200,GO:0046872,GO:0030674,GO:0061629
scig1.0003629	GO:0005515,GO:0000981,GO:0003677,GO:0046872,GO:0000978,GO:0001227
scig1.0003644	GO:0004190,GO:0042277,GO:0008233,GO:0004175,GO:0005515,GO:0016787,GO:0070001
scig1.0003645	GO:0008270,GO:0016740,GO:0004842,GO:0061630,GO:0005515,GO:0046872
scig1.0003676	GO:0005509,GO:0042802,GO:0005515,GO:0000514,GO:0046872,GO:0015172,GO:0005313,GO:0000515,GO:0008514,GO:0015183,GO:0015297
scig1.0003691	GO:1990756
scig1.0003699	GO:0016403,GO:0003824,GO:0016787,GO:0016597,GO:0046872
scig1.0003715	GO:0061629,GO:0005515,GO:0000774,GO:0044877,GO:0140662,GO:0005524,GO:0000166
scig1.0003720	GO:0015631,GO:0070840,GO:0003779
scig1.0003721	GO:0016491,GO:0016628,GO:0051287,GO:0003858,GO:0016617
scig1.0003754	GO:0061630,GO:0046872,GO:0003779,GO:0016740,GO:0004842
scig1.0003768	GO:0044325,GO:0008093,GO:0030507,GO:0005198,GO:0005200,GO:0019903,GO:0051117,GO:0005515,GO:0019899
scig1.0003786	GO:0003677,GO:0043565,GO:0003700
scig1.0003808	GO:0000978,GO:0043565,GO:0005515,GO:0000981,GO:0003677,GO:0003676,GO:0003700,GO:0001228
scig1.0003889	GO:0003883,GO:0000166,GO:0016874,GO:0005524
scig1.0003896	GO:0003674,GO:0005515
scig1.0003930	GO:0003674
scig1.0003938	GO:0042802,GO:0045296,GO:0005515,GO:0003723,GO:0061629,GO:0001784,GO:0030971,GO:0035591
scig1.0003949	GO:0030674,GO:0046872,GO:0061630,GO:0008270,GO:0016740
scig1.0003950	GO:0005186
scig1.0003988	GO:0035091,GO:0034713
scig1.0003994	GO:0016597,GO:0005178,GO:0042803,GO:0046872,GO:0004930,GO:0042802,GO:0005509,GO:0005515,GO:0019901,GO:0004435,GO:0044325
scig1.0004013	GO:0047865,GO:0016491,GO:0009055,GO:0003723
scig1.0004110	GO:0005515
scig1.0004118	GO:0003723,GO:0004386,GO:0016787,GO:0016887,GO:0003676,GO:0003724,GO:0000166,GO:0005524
scig1.0004125	GO:0016798,GO:0061634,GO:0016787,GO:0005515,GO:0003824,GO:0030246,GO:0004553
scig1.0004126	GO:0046872,GO:0015288,GO:0004619,GO:0003824,GO:0008308,GO:0046537,GO:0000166,GO:0016853,GO:0030145
scig1.0004147	GO:0016881,GO:0005515,GO:0070739,GO:0070740,GO:0046872,GO:0140096,GO:0000166,GO:0016874,GO:0005524,GO:0015631
scig1.0004169	GO:0016810,GO:0005506,GO:0046872,GO:0008448,GO:0047419,GO:0042803,GO:0016787
scig1.0004173	GO:0016491,GO:0016829,GO:0050661,GO:0080146,GO:0050660,GO:0010181,GO:0003958,GO:0005515
scig1.0004176	GO:0016301,GO:0004679,GO:0005524,GO:0000166,GO:0034237,GO:0004674,GO:0016740,GO:0004691,GO:0000287,GO:0004672,GO:0005515,GO:0106310,GO:0031625
scig1.0004219	GO:0003677,GO:0016757,GO:0003824,GO:0016779,GO:0046872,GO:0003950,GO:0051287,GO:0016829,GO:0016740,GO:0008270,GO:0004333
scig1.0004235	GO:0031267,GO:0005085,GO:0005515
scig1.0004262	GO:0046872,GO:0004089,GO:0016829,GO:0008270
scig1.0004272	GO:0003824,GO:0016757,GO:0005515,GO:0016787,GO:0004386,GO:0003723,GO:0004731,GO:0008186,GO:0047975,GO:0016763,GO:0003729,GO:0005524,GO:0000166,GO:0003725,GO:0016887,GO:0016740,GO:0003676,GO:0003724
scig1.0004274	GO:0060090,GO:0031267,GO:0002162,GO:0003779,GO:0045294,GO:0008013,GO:0005515,GO:0051015,GO:0031625,GO:0005198
scig1.0004315	GO:0047238,GO:0016757,GO:0008376,GO:0050510,GO:0046872,GO:0016740
scig1.0004334	GO:0003676,GO:0003723
scig1.0004377	GO:0022857
scig1.0004434	GO:0070573,GO:0016787,GO:0004180,GO:0008237,GO:0046872,GO:0008233,GO:0042803
scig1.0004436	GO:0140297,GO:0000987,GO:0001223,GO:0019904,GO:0003700,GO:0000976,GO:0003682,GO:0001228,GO:0001222,GO:1990837,GO:0005524,GO:0046982,GO:0031490,GO:0000978,GO:0042803,GO:0043425,GO:0000977,GO:0005509,GO:0003677,GO:0140296,GO:0000981,GO:0042826,GO:0005515
scig1.0004495	GO:0003779
scig1.0004513	GO:0015293,GO:0005314,GO:0046872,GO:0015501
scig1.0004514	GO:0001228,GO:0003700,GO:0005515,GO:0003677,GO:0043565,GO:0000978
scig1.0004531	GO:0051020,GO:0042277,GO:0005198,GO:0005326,GO:0032050,GO:0044877
scig1.0004543	GO:0046872,GO:0016308,GO:0016787,GO:0005515,GO:0019887,GO:0003860,GO:0016740,GO:0052742,GO:0000166,GO:0005524,GO:0016301
scig1.0004546	GO:0005085
scig1.0004549	GO:0016779,GO:0003964,GO:0003824,GO:0016740
scig1.0004551	GO:0016787,GO:0008237,GO:0008233,GO:0004222,GO:0046872
scig1.0004572	GO:0005515,GO:0042802
scig1.0004583	GO:0016740,GO:0008270,GO:0003674,GO:0019789,GO:0046872
scig1.0004592	GO:0004423,GO:0016787,GO:0008484,GO:0005515,GO:0005509,GO:0046872
scig1.0004617	GO:0046872,GO:0005178,GO:0098640,GO:0005044,GO:0043236,GO:0005515,GO:0004601,GO:0042813,GO:0005509,GO:0017147,GO:0016491,GO:0003674,GO:0043394,GO:0050840,GO:0030023,GO:0005112,GO:0005201,GO:0005179,GO:0005518,GO:0043237,GO:0016538,GO:0020037,GO:0003682,GO:0004447,GO:0001786,GO:0008201
scig1.0004639	GO:0030234
scig1.0004678	GO:0045499,GO:0030215,GO:0038191
scig1.0004705	GO:0003924,GO:0000166,GO:0005525
scig1.0004753	GO:0005547,GO:0046872,GO:0005515,GO:0005545
scig1.0004756	GO:0016740,GO:0008146,GO:0004062
scig1.0004775	GO:0005515
scig1.0004799	GO:0005229,GO:0017128,GO:0046983,GO:0005254
scig1.0004800	GO:0016787,GO:0005515,GO:0030943,GO:0046872,GO:0003993
scig1.0004808	GO:0009374,GO:0005515,GO:0005509
scig1.0004832	GO:0043890,GO:0016301,GO:0005524,GO:0004065,GO:0000166,GO:0004674,GO:0016740,GO:0003943,GO:0004697,GO:0005543,GO:0005515,GO:0004672,GO:0008484,GO:0016787,GO:0106310,GO:0046872
scig1.0004833	GO:0016779,GO:0003964,GO:0016787,GO:0008233,GO:0004518,GO:0003887,GO:0004190,GO:0016740,GO:0003676,GO:0004519
scig1.0004836	GO:0001228,GO:0003677,GO:0005515,GO:0000978
scig1.0004850	GO:0046983,GO:0003674,GO:0046872
scig1.0004889	GO:0016787,GO:0031593,GO:0005515,GO:0061630,GO:0019902,GO:0046872,GO:0004620,GO:0003723,GO:0004842,GO:0016740
scig1.0004895	GO:0004930,GO:0004888,GO:0035374,GO:0005509
scig1.0004914	GO:0016787,GO:0004176,GO:0005515,GO:0008237,GO:0003824,GO:0003964,GO:0016779,GO:0004222,GO:0046872,GO:0008233,GO:0000166,GO:0005524,GO:0016887,GO:0016740,GO:0008270
scig1.0004935	GO:0070976,GO:0035325,GO:0003674
scig1.0004941	GO:0015333,GO:0022857,GO:0071916,GO:0015647,GO:0015293,GO:0005290
scig1.0004963	GO:0051213,GO:0016491,GO:0031418,GO:0048244,GO:0046872,GO:0003824,GO:0031406,GO:0005515,GO:0008198
scig1.0004964	GO:0003677,GO:0061860,GO:0003689,GO:0043565,GO:0003690,GO:0000166,GO:0005524,GO:0019904,GO:0016887
scig1.0004980	GO:0005515,GO:0016740,GO:0004842,GO:0019787,GO:0000166,GO:0061631,GO:0005524
scig1.0004984	GO:0005179,GO:0005201,GO:0030023,GO:0005515,GO:0019864,GO:0005509
scig1.0005025	GO:0016740,GO:0000030,GO:0004169
scig1.0005037	GO:0000166,GO:0005525,GO:0005515,GO:0016787,GO:0046872,GO:0003924,GO:0003723
scig1.0005067	GO:0046872,GO:0051879,GO:0005515,GO:0008270,GO:0005524,GO:0043531
scig1.0005096	GO:0004674,GO:0016740,GO:0016301,GO:0005524,GO:0000166,GO:0004672,GO:0106310
scig1.0005104	GO:0022829
scig1.0005115	GO:0002039,GO:1990050,GO:0005515
scig1.0005137	GO:0004386,GO:0003723,GO:0016787,GO:0016887,GO:0003676,GO:0003724,GO:0005524,GO:0000166
scig1.0005180	GO:0004888,GO:0004930,GO:0046872,GO:0002020,GO:0008307,GO:0106310,GO:0043236,GO:0005516,GO:0019899,GO:0005515,GO:0004672,GO:0042802,GO:0005509,GO:0051015,GO:0050840,GO:0005518,GO:0043621,GO:0016740,GO:0097493,GO:0042805,GO:0031433,GO:0004713,GO:0019901,GO:0004674,GO:0000166,GO:0005524,GO:0051371,GO:0016301
scig1.0005181	GO:0008017,GO:0019894,GO:0106310,GO:0004672,GO:0016740,GO:0004674,GO:0016301,GO:0000166,GO:0005524
scig1.0005196	GO:0003730,GO:0003676,GO:0003723
scig1.0005215	GO:0046872,GO:0000978,GO:0000981,GO:0003677
scig1.0005222	GO:0035064,GO:0005515,GO:0003677,GO:0003682
scig1.0005228	GO:0003682,GO:0031491,GO:0005515,GO:0042393,GO:0046872
scig1.0005230	GO:0008671,GO:0016772,GO:0000166,GO:0008673,GO:0005524,GO:0016301,GO:0016740
scig1.0005254	GO:0008270,GO:0004842,GO:0046872,GO:1990757
scig1.0005314	GO:0050660,GO:0009055,GO:0005515,GO:0016491
scig1.0005318	GO:0003924,GO:0008757,GO:0005515,GO:0070042,GO:0019003,GO:0000166,GO:0005525,GO:0005546
scig1.0005344	GO:0008271,GO:0046872,GO:0015106
